n,heapsort.ticks
50000,1829370
60000,2224756
70000,2622213
80000,3034000
90000,3445326
100000,3857589
110000,4272217
120000,4687419
130000,5103787
140000,5531022
150000,5958837
160000,6386608
170000,6817106
180000,7247387
190000,7681921
200000,8114831
210000,8549516
220000,8984768
230000,9422265
240000,9855993
250000,10295745
260000,10732325
270000,11171601
280000,11620133
290000,12066257
300000,12518137
310000,12966503
320000,13414512
330000,13862381
340000,14315202
350000,14768871
360000,15221305
370000,15667310
380000,16123381
390000,16574137
400000,17035170
410000,17482932
420000,17935312
430000,18396709
440000,18850764
450000,19305242
460000,19760860
470000,20221947
480000,20672649
490000,21133810
