n,heapsort.ticks,extrapolate
50000,71890682,71890567
60000,87749205,87749067
70000,103950998,103607567
80000,120505094,119466067
90000,137175958,135324567
100000,153981285,151183067
110000,170827249,167041567
120000,187763800,182900067
130000,204793170,198758567
140000,222161438,214617067
150000,239702656,230475567
160000,257303010,246334067
170000,274903974,262192567
180000,292687161,278051067
190000,310477321,293909567
200000,328282165,309768067
210000,346199922,325626567
220000,364062795,341485067
230000,382106245,357343567
240000,399980139,373202067
250000,418036853,389060567
260000,435993585,404919067
270000,454381793,420777567
280000,472880977,436636067
290000,491379759,452494567
300000,509916588,468353067
310000,528562886,484211567
320000,547191410,500070067
330000,565933084,515928567
340000,584604617,531787067
350000,603356066,547645567
360000,622097612,563504067
370000,640944193,579362567
380000,659815566,595221067
390000,678604539,611079567
400000,697392103,626938067
410000,716313678,642796567
420000,735283262,658655067
430000,754162327,674513567
440000,773146888,690372067
450000,791985598,706230567
460000,811036355,722089067
470000,829969076,737947567
480000,849009667,753806067
490000,868005300,769664567
