n,heapsort.time
50000,38
60000,46
70000,49
80000,54
90000,59
100000,74
110000,77
120000,87
130000,110
140000,105
150000,117
160000,130
170000,141
180000,152
190000,166
200000,171
210000,187
220000,203
230000,217
240000,234
250000,246
260000,267
270000,273
280000,288
290000,304
300000,325
310000,337
320000,351
330000,378
340000,386
350000,400
360000,419
370000,438
380000,453
390000,476
400000,493
410000,507
420000,528
430000,591
440000,567
450000,691
460000,791
470000,617
480000,639
490000,656
